<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>,symbol,trading_date,num_neg,num_pos,total,weighted_score,EIst,VCP_dir,VOP_dir,daily_change,TR_Simplified,TR,TR_Class,EPS,PE,VPE_dir,PB,Is_Stable,FF_TR,FF_TR_Class,EIst_class
S*Mobarakeh Steel,2025-05-14,4055.0,4093.0,3984.0,4045.0,2527950164584.0,624907638,15681,D,4055.0,4070.0,FOLD1,2025-05-14,98.0,52.0,168.0,35.0,58.333333333333336,down,up,-10.0,0.8221995665145829,0.416605092,High,591,6.844331641285956,down,1.611506790719758,True,1.1572363666666667,High,weak_negative
S*Mobarakeh Steel,2025-05-17,4000.0,4030.0,3924.0,3949.0,3878288173846.0,982120475,25888,D,4045.0,3933.0,FOLD1,2025-05-17,140.0,58.0,226.0,-331.0,61.94690265486725,down,down,-96.0,1.2546204878106442,0.6547469833333334,High,591,6.6818950930626055,down,1.5732608940796846,True,1.8187416203703703,High,strong_negative
S*Mobarakeh Steel,2025-05-18,3949.0,4000.0,3933.0,3964.0,1953170861052.0,492666837,14293,D,3949.0,3970.0,FOLD1,2025-05-18,81.0,32.0,130.0,-296.0,62.30769230769231,up,down,15.0,0.6242007462475884,0.328444558,High,591,6.707275803722505,up,1.579236815429696,True,0.9123459944444444,High,strong_negative
S*Mobarakeh Steel,2025-05-19,3962.0,3980.0,3873.0,3906.0,1475541956752.0,377752537,15171,D,3964.0,3880.0,FOLD1,2025-05-19,96.0,43.0,156.0,-492.0,61.53846153846154,down,up,-58.0,0.4769616668343962,0.2518350246666667,Low,591,6.6091370558375635,down,1.5561299195429852,True,0.6995417351851851,High,strong_negative
S*Mobarakeh Steel,2025-05-20,3873.0,3910.0,3789.0,3819.0,2698399382999.0,706489656,22458,D,3906.0,3789.0,FOLD1,2025-05-20,150.0,58.0,226.0,-491.0,66.3716814159292,down,down,-87.0,0.873446812478834,0.470993104,High,591,6.461928934010152,down,1.5214695757129186,True,1.3083141777777778,High,strong_negative
S*Mobarakeh Steel,2025-05-21,3708.0,3779.0,3708.0,3733.0,1828185860440.0,489686303,15817,D,3819.0,3769.0,FOLD1,2025-05-21,101.0,29.0,148.0,-349.0,68.24324324324324,down,down,-86.0,0.6025852952131507,0.3264575353333333,High,591,6.316412859560067,down,1.4872076266395196,True,0.906826487037037,High,strong_negative
S*Mobarakeh Steel,2025-05-24,3770.0,3844.0,3685.0,3826.0,3437109934719.0,898279970,13518,D,3733.0,3844.0,FOLD1,2025-05-24,106.0,86.0,211.0,123.0,50.23696682464455,up,down,93.0,1.0782267366928966,0.5988533133333334,High,591,6.473773265651438,up,1.5242583390095907,True,1.6634814259259258,High,weak_negative
S*Mobarakeh Steel,2025-05-25,3844.0,3892.0,3798.0,3838.0,2310659698921.0,602017691,16728,D,3826.0,3810.0,FOLD1,2025-05-25,121.0,45.0,179.0,-370.0,67.59776536312849,up,up,12.0,0.717870862142442,0.40134512733333333,High,591,6.494077834179357,up,1.5290390760895998,True,1.114847575925926,High,strong_negative
S*Mobarakeh Steel,2025-05-26,3930.0,3943.0,3831.0,3878.0,2145322590013.0,553223232,12926,D,3838.0,3904.0,FOLD1,2025-05-26,70.0,41.0,123.0,-38.0,56.91056910569105,up,up,40.0,0.6698220881543845,0.368815488,High,591,6.56175972927242,up,1.544974866356297,True,1.0244874666666666,High,weak_negative
S*Mobarakeh Steel,2025-05-27,3919.0,3939.0,3847.0,3874.0,1664384709035.0,429619055,13625,D,3878.0,3849.0,FOLD1,2025-05-27,141.0,57.0,217.0,-543.0,64.97695852534562,down,up,-4.0,0.5262707488058856,0.28641270333333335,Low,591,6.5549915397631136,down,1.5433812873296273,True,0.7955908425925926,High,strong_negative
